location,date,total_cases_per_million
Afghanistan,3/31/2020,4.036
Afghanistan,5/31/2020,369.085
Afghanistan,7/31/2020,890.569
Afghanistan,9/30/2020,956.848
Afghanistan,11/30/2020,1123.666
Afghanistan,1/31/2021,1337.823
Afghanistan,3/31/2021,1372.616
Afghanistan,5/31/2021,1746.66
Afghanistan,7/31/2021,3577.885
Afghanistan,9/30/2021,3772.882
Afghanistan,11/30/2021,3824.306
Afghanistan,1/31/2022,3961.363
Afghanistan,3/31/2022,4321.719
Afghanistan,5/31/2022,4384.935
Afghanistan,7/31/2022,4516.279
Afghanistan,9/30/2022,4843.033
Afghanistan,11/30/2022,5006.398
Afghanistan,1/31/2023,5070.538
Afghanistan,2/16/2023,5083.351
Africa,3/31/2020,4.038
Africa,5/31/2020,102.718
Africa,7/31/2020,650.488
Africa,9/30/2020,1038.685
Africa,11/30/2020,1523.98
Africa,1/31/2021,2501.934
Africa,3/31/2021,2955.866
Africa,5/31/2021,3392.592
Africa,7/31/2021,4702.581
Africa,9/30/2021,5825.018
Africa,11/30/2021,6088.832
Africa,1/31/2022,7630.761
Africa,3/31/2022,8101.66
Africa,5/31/2022,8330.111
Africa,7/31/2022,8591.982
Africa,9/30/2022,8661.185
Africa,11/30/2022,8711.597
Africa,1/31/2023,8761.332
Africa,2/16/2023,8769.385
Albania,3/31/2020,85.494
Albania,5/31/2020,400.026
Albania,7/31/2020,1856.231
Albania,9/30/2020,4802.066
Albania,11/30/2020,13433.402
Albania,1/31/2021,27487.072
Albania,3/31/2021,44033.426
Albania,5/31/2021,46551.793
Albania,7/31/2021,46821.292
Albania,9/30/2021,59856.427
Albania,11/30/2021,70345.753
Albania,1/31/2022,90962.025
Albania,3/31/2022,96286.552
Albania,5/31/2022,97139.377
Albania,7/31/2022,109803.688
Albania,9/30/2022,116883.825
Albania,11/30/2022,117278.573
Albania,1/31/2023,117568.478
Albania,2/16/2023,117605.771
Algeria,3/31/2020,15.945
Algeria,5/31/2020,209.205
Algeria,7/31/2020,676.878
Algeria,9/30/2020,1147.579
Algeria,11/30/2020,1852.851
Algeria,1/31/2021,2390.452
Algeria,3/31/2021,2609.879
Algeria,5/31/2021,2870.907
Algeria,7/31/2021,3816.919
Algeria,9/30/2021,4528.828
Algeria,11/30/2021,4688.549
Algeria,1/31/2022,5614.674
Algeria,3/31/2022,5916.523
Algeria,5/31/2022,5921.267
Algeria,7/31/2022,5956.231
Algeria,9/30/2022,6027.919
Algeria,11/30/2022,6037.205
Algeria,1/31/2023,6043.619
Algeria,2/16/2023,6044.643
Andorra,3/31/2020,4709.242
Andorra,5/31/2020,9568.779
Andorra,7/31/2020,11585.236
Andorra,9/30/2020,25675.388
Andorra,11/30/2020,84478.289
Andorra,1/31/2021,124456.746
Andorra,3/31/2021,150420.2
Andorra,5/31/2021,171924.903
Andorra,7/31/2021,183835.778
Andorra,9/30/2021,190649.149
Andorra,11/30/2021,214358.178
